update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,28672,5541.399921813413,5,-0.75,0.4330127018922193,-1.0,0.0,608.75,352.4186962974581,61.0,1024.0,0.9920224845409393,-0.20777933672070503,-0.03559284587390721,0.003444475201831665,0.032895037256474496,-0.75,0.4330127018922193,-1.0,0.0
15,30720,5580.539420736896,5,-0.625,0.4841229182759271,-1.0,0.0,652.4375,385.3488628421654,61.0,1024.0,1.0066301971673965,-0.18625039793550968,-0.03348494740203023,0.0023534325118816923,0.02237320478113964,-0.625,0.4841229182759271,-1.0,0.0
16,32768,5456.095306451961,6,-0.5625,0.49607837082461076,-1.0,0.0,747.1875,356.49512948110527,16.0,1024.0,0.9962320849299431,-0.18017976358532906,-0.00858698584488593,0.01040211325744167,0.05797179866226184,-0.5625,0.49607837082461076,-1.0,0.0
17,34816,5391.56599006915,6,-0.5625,0.49607837082461076,-1.0,0.0,621.9375,440.38115149691635,3.0,1024.0,0.9996285662055016,-0.14885719679296017,-0.014747412467841059,0.006760831252904609,0.03287383786724896,-0.5625,0.49607837082461076,-1.0,0.0
18,36864,5155.125813633881,7,-0.625,0.4841229182759271,-1.0,0.0,585.4375,429.6146483696174,3.0,1024.0,1.012514978647232,-0.13775299116969109,-0.01694631506688893,0.0032132122287293896,0.02707002522148048,-0.625,0.4841229182759271,-1.0,0.0
19,38912,5281.215876722325,7,-0.625,0.4841229182759271,-1.0,0.0,585.4375,429.6146483696174,3.0,1024.0,1.027141124010086,-0.1116315508261323,-0.019055258948355913,0.00015719396469648927,0.012330210857767872,-0.625,0.4841229182759271,-1.0,0.0
20,40960,4855.503629219841,7,-0.5625,0.49607837082461076,-1.0,0.0,650.8125,424.5202025154398,3.0,1024.0,1.0266478657722473,-0.09906536247581244,-0.009534541517496109,0.0035544387537811417,0.02632111542731822,-0.5625,0.49607837082461076,-1.0,0.0
21,43008,5182.7676141529855,8,-0.6875,0.46351240544347894,-1.0,0.0,593.9375,420.6509046629402,3.0,1024.0,1.017583280801773,-0.10206890571862459,0.0007862133707021712,0.008021226996788755,0.03507287585747031,-0.6875,0.46351240544347894,-1.0,0.0
22,45056,5481.1480201993645,8,-0.625,0.4841229182759271,-1.0,0.0,647.1875,404.791955631223,5.0,1024.0,1.047563076019287,-0.10758987069129944,0.009199832013109699,0.013380835531279445,0.05434312749135759,-0.625,0.4841229182759271,-1.0,0.0
23,47104,3578.9067843923476,9,-0.625,0.4841229182759271,-1.0,0.0,674.75,404.76003693546625,5.0,1024.0,1.0308341681957245,-0.1022481732070446,-0.01192054245620966,0.0036769870785064995,0.026210926855675484,-0.625,0.4841229182759271,-1.0,0.0
